volume,volume_weighted_average_price,open,close,high,low,timestamp,number_of_transactions
9.681483e6,85.7955,86.59,84.74,87.08,84.68,2020-11-18,59876
4.246474e6,84.5957,84.62,85.07,85.17,83.73,2020-11-19,42685
3.159878e6,84.6322,85.03,84.61,85.15,84.23,2020-11-20,30545
4.566579e6,85.2173,85.19,84.77,85.77,84.63,2020-11-23,42501
4.830056e6,85.7459,85.71,85.22,86.41,85.12,2020-11-24,46132
5.822041e6,84.7168,85.29,85.27,85.41,84.4739,2020-11-25,37533
2.086282e6,84.8561,85.52,84.89,85.55,84.54,2020-11-27,22150
6.460262e6,84.0998,84.78,84.0,84.85,83.725,2020-11-30,62029
6.54728e6,85.0763,84.96,85.08,85.43,84.7,2020-12-01,55249
3.759778e6,84.5751,84.89,84.41,85.385,84.335,2020-12-02,42526
3.415131e6,85.1656,84.6,85.12,85.5473,84.47,2020-12-03,34231
3.087063e6,86.1118,85.49,86.42,86.44,85.49,2020-12-04,31176
2.663969e6,85.845,86.21,85.67,86.49,85.35,2020-12-07,29620
2.672591e6,85.5023,85.29,85.37,85.82,85.25,2020-12-08,28320
5.055159e6,84.7483,85.55,84.84,85.65,84.28,2020-12-09,34807
3.775949e6,84.5996,84.38,84.47,85.02,84.16,2020-12-10,30044
4.081891e6,84.1404,84.06,84.39,84.57,83.57,2020-12-11,33512
3.784671e6,84.666,85.08,84.02,85.68,83.96,2020-12-14,33383
2.891959e6,84.9825,84.5,85.74,85.76,83.8499,2020-12-15,28109
3.455721e6,85.7769,85.99,85.84,86.46,85.4099,2020-12-16,35913
3.370806e6,86.4437,86.26,86.67,86.745,85.92,2020-12-17,26362
4.017982e6,85.3607,86.76,84.93,86.77,84.4,2020-12-18,38881
5.038457e6,84.0737,83.7,84.45,84.51,83.345,2020-12-21,46512
2.860682e6,84.6875,84.5,85.04,85.12,84.11,2020-12-22,28873
3.688709e6,84.9991,85.37,84.49,85.93,84.415,2020-12-23,27243
1.595234e6,83.567,83.48,83.88,83.9,83.23,2020-12-24,15394
5.743965e6,84.2235,84.29,84.38,84.51,83.8,2020-12-28,78948
3.935182e6,83.9518,84.69,83.66,85.14,83.57,2020-12-29,33788
4.103306e6,84.1532,83.87,84.12,84.78,83.71,2020-12-30,33284
4.8587e6,84.2953,84.09,84.93,85.045,83.4,2020-12-31,72088
5.390461e6,82.9478,85.2,82.17,85.28,82.07,2021-01-04,54074
4.975191e6,82.4518,82.17,82.29,82.87,82.13,2021-01-05,47733
6.591014e6,82.3458,82.26,82.43,82.97,81.73,2021-01-06,58187
4.10346e6,82.1816,82.5,82.27,82.54,81.75,2021-01-07,39421
4.985049e6,82.9499,82.53,83.07,83.36,82.39,2021-01-08,40577
6.645465e6,82.0273,82.53,81.97,83.02,81.68,2021-01-11,49815
7.931618e6,81.8656,81.86,82.16,82.23,81.23,2021-01-12,57736
9.08471e6,83.015,82.22,83.16,83.33,82.21,2021-01-13,58994
5.903617e6,83.7164,83.44,83.65,84.22,83.13,2021-01-14,40562
3.972868e6,84.0224,83.46,84.61,84.8727,83.18,2021-01-15,41302
5.588606e6,84.3653,85.14,84.37,85.18,83.99,2021-01-19,50181
5.254713e6,85.4374,84.44,85.98,86.37,84.13,2021-01-20,43709
4.249575e6,85.2381,85.73,85.57,85.741,84.83,2021-01-21,38377
5.308503e6,85.5187,85.13,85.77,85.91,84.92,2021-01-22,36031
7.882911e6,86.3195,85.74,86.42,87.08,85.26,2021-01-25,60821
4.73753e6,86.9127,86.61,87.03,87.305,86.46,2021-01-26,39710
5.95548e6,85.9419,86.38,85.49,87.175,85.07,2021-01-27,64965
6.267861e6,86.3157,85.51,85.95,86.91,85.23,2021-01-28,55433
7.384855e6,85.2541,85.47,84.96,86.328,84.51,2021-01-29,64790
6.207744e6,85.9072,85.48,86.9,86.955,84.42,2021-02-01,52376
3.889036e6,87.3744,87.46,87.42,87.74,86.68,2021-02-02,37773
5.18079e6,86.8486,87.47,87.2,87.48,86.0,2021-02-03,47827
4.149631e6,87.7843,87.22,87.8,88.29,87.1,2021-02-04,40824
2.619307e6,88.0822,88.17,88.11,88.28,87.81,2021-02-05,25968
3.267275e6,88.1811,88.43,88.59,88.5926,87.79,2021-02-08,39182
2.548469e6,88.8009,88.75,88.9,89.125,88.39,2021-02-09,28565
3.449464e6,89.5112,89.36,89.38,90.097,88.99,2021-02-10,34700
3.746801e6,89.5179,89.54,89.57,90.09,89.045,2021-02-11,27240
2.337181e6,89.307,89.34,89.59,89.68,88.91,2021-02-12,24097
2.836271e6,88.9557,89.92,88.9,89.97,88.41,2021-02-16,29592
2.974604e6,88.6091,88.7,88.79,88.93,88.25,2021-02-17,29885
3.305674e6,88.4728,88.47,88.41,88.79,88.255,2021-02-18,33196
4.214213e6,89.0583,88.73,88.92,89.45,88.49,2021-02-19,32675
3.535569e6,89.4713,88.7,89.66,90.05,88.51,2021-02-22,32682
4.419403e6,90.0895,89.88,90.22,90.47,89.65,2021-02-23,43479
3.573861e6,90.7343,90.23,90.91,91.185,90.01,2021-02-24,41104
7.581087e6,89.9606,90.8,89.17,91.45,88.56,2021-02-25,75611
6.574164e6,88.646,89.51,87.87,89.52,87.77,2021-02-26,61331
4.928663e6,88.9179,88.87,88.26,89.67,88.16,2021-03-01,44828
4.786505e6,87.4672,88.29,87.41,88.29,86.829,2021-03-02,49496
6.272883e6,87.1155,87.37,86.91,87.725,86.725,2021-03-03,53873
6.93845e6,86.3333,87.08,85.92,87.55,84.88,2021-03-04,72111
7.208729e6,85.8015,86.58,86.86,87.16,84.445,2021-03-05,72846
4.871091e6,87.8851,87.23,87.61,88.53,86.59,2021-03-08,47881
3.90206e6,88.4854,88.13,88.19,88.87,88.07,2021-03-09,40339
3.467657e6,88.8392,88.42,89.07,89.63,88.15,2021-03-10,42737
3.872625e6,90.0746,89.7,90.11,90.63,89.15,2021-03-11,34007
3.302552e6,90.7678,90.07,91.62,91.655,90.03,2021-03-12,33190
6.086324e6,92.6701,91.83,92.98,93.2,91.36,2021-03-15,48721
3.166815e6,92.6647,92.99,92.6,93.2,92.2,2021-03-16,34330
3.710937e6,92.2808,92.43,92.68,92.72,91.57,2021-03-17,33746
3.566535e6,91.9155,92.31,91.74,92.4,91.43,2021-03-18,35574
4.475634e6,91.3403,91.88,90.49,92.119,90.41,2021-03-19,40568
2.718599e6,90.9122,90.5,91.13,91.35,90.2,2021-03-22,28084
3.003654e6,91.1591,91.1,91.0,91.71,90.49,2021-03-23,30824
4.163259e6,91.0824,91.05,90.49,91.775,90.49,2021-03-24,37471
4.267508e6,90.2041,89.83,90.88,91.09,88.83,2021-03-25,39796
3.890422e6,91.9718,91.32,92.84,92.89,91.16,2021-03-26,36609
5.177973e6,92.3255,92.64,92.3,92.94,91.485,2021-03-29,42552
5.94762e6,92.3797,92.16,92.42,92.68,92.04,2021-03-30,37495
4.45736e6,92.1169,92.42,91.86,92.88,91.49,2021-03-31,46549
5.543263e6,92.6666,92.3435,93.53,93.58,92.0,2021-04-01,48124
4.341833e6,93.57,94.16,93.89,94.16,92.98,2021-04-05,40705
5.15421e6,93.8593,93.95,94.13,94.14,93.49,2021-04-06,40832
3.080957e6,93.9704,94.15,94.2,94.496,93.3757,2021-04-07,26209
5.066087e6,94.0202,94.23,93.85,94.575,93.76,2021-04-08,40432
5.4008e6,93.751,94.0,93.74,94.12,93.5199,2021-04-09,28797
2.877374e6,93.9221,93.93,94.29,94.29,93.14,2021-04-12,25127
4.021444e6,94.6186,94.15,94.76,94.88,94.03,2021-04-13,30964
4.599097e6,94.7365,94.85,94.26,95.335,94.13,2021-04-14,44816
6.527569e6,95.3142,94.84,95.91,95.91,94.64,2021-04-15,62554
3.792698e6,96.1192,96.26,96.12,96.4,95.795,2021-04-16,41458
2.932124e6,96.0364,96.17,96.31,96.31,95.508,2021-04-19,31987
5.009247e6,96.9587,96.16,97.1,97.28,96.12,2021-04-20,51472
4.447135e6,97.6084,97.22,97.74,97.905,96.87,2021-04-21,36404
3.239746e6,97.6376,97.73,97.21,98.125,96.99,2021-04-22,33870
5.272264e6,97.6972,97.43,97.78,97.98,97.14,2021-04-23,35461
5.489527e6,98.2193,98.1,98.07,98.645,97.84,2021-04-26,41954
3.137892e6,98.1427,98.36,98.06,98.395,97.81,2021-04-27,30702
3.536106e6,98.0883,98.31,97.85,98.44,97.8,2021-04-28,32244
3.360074e6,98.5886,98.5,98.69,99.13,98.03,2021-04-29,34337
4.410256e6,98.8259,98.39,99.08,99.3,98.21,2021-04-30,46364
6.956415e6,98.9867,99.56,98.89,99.56,98.67,2021-05-03,53052
6.501218e6,98.2922,98.43,98.25,99.23,97.69,2021-05-04,56547
